card_id,set_id,market_price_usd
sm10-5,sm10,42.01
sm10-6,sm10,48.1
sm10-7,sm10,43.65
sm10-8,sm10,62.76
sm10-9,sm10,140.62
sm10-10,sm10,136.4
sm10-11,sm10,104.75
sm10-12,sm10,73.31
sm10-13,sm10,121.83
sm10-14,sm10,124.47
sm10-15,sm10,4.28
sm10-16,sm10,33.57
sm3-166,sm3,131.16
tk2b-1,tk2b,124.14
tk2b-2,tk2b,28.11
tk2b-3,tk2b,12.51
tk2b-4,tk2b,1.0
tk2b-5,tk2b,46.18
tk2b-6,tk2b,9.79
tk2b-7,tk2b,55.13
tk2b-8,tk2b,98.07
tk2b-9,tk2b,62.65
tk2b-10,tk2b,37.87
tk2b-11,tk2b,87.33
tk2b-12,tk2b,41.69
swsh9tg-TG01,swsh9tg,124.49
swsh9tg-TG02,swsh9tg,18.14
swsh9tg-TG03,swsh9tg,9.3
swsh9tg-TG04,swsh9tg,96.27
swsh9tg-TG05,swsh9tg,91.18
swsh9tg-TG06,swsh9tg,89.9
swsh9tg-TG07,swsh9tg,23.7
swsh9tg-TG08,swsh9tg,74.78
swsh9tg-TG09,swsh9tg,51.15
swsh9tg-TG10,swsh9tg,28.02
swsh9tg-TG11,swsh9tg,94.19
swsh9tg-TG12,swsh9tg,52.59
swsh9tg-TG13,swsh9tg,87.7
bw2-1,bw2,75.64
bw2-2,bw2,146.65
bw2-3,bw2,125.52
bw2-4,bw2,100.37
bw2-5,bw2,29.17
bw2-6,bw2,103.75
bw2-7,bw2,127.87
bw2-8,bw2,126.42
bw2-9,bw2,43.88
sm3-167,sm3,92.73
sm3-17,sm3,4.18
sm3-1,sm3,120.37
sm3-2,sm3,37.35
sm3-3,sm3,129.6
sm3-4,sm3,100.61
sm3-5,sm3,111.17
sm3-6,sm3,10.33
sm3-7,sm3,13.47
sm3-8,sm3,11.82
sm3-9,sm3,67.17
sm3-10,sm3,27.63
sm3-11,sm3,27.69
sm3-12,sm3,114.91
sm3-13,sm3,54.27
sm3-14,sm3,66.91
sm3-15,sm3,133.27
sm3-16,sm3,72.43
si1-1,si1,48.36
swsh35-1,swsh35,55.1
swsh35-2,swsh35,43.42
swsh35-3,swsh35,15.99
swsh35-4,swsh35,71.31
swsh35-5,swsh35,119.86
swsh35-6,swsh35,43.27
swsh35-7,swsh35,55.09
swsh35-8,swsh35,124.14
swsh35-9,swsh35,26.0
swsh35-10,swsh35,88.34
swsh35-11,swsh35,110.14
swsh35-12,swsh35,134.61
swsh35-13,swsh35,105.92
swsh35-14,swsh35,96.41
swsh35-15,swsh35,62.26
swsh35-16,swsh35,113.98
swsh35-17,swsh35,64.14
swsh35-18,swsh35,49.55
swsh35-19,swsh35,59.37
swsh35-20,swsh35,103.35
swsh35-21,swsh35,19.85
sm2-121,sm2,136.88
ecard2-1,ecard2,50.65
ecard2-2,ecard2,109.64
ecard2-3,ecard2,3.2
ecard2-4,ecard2,23.07
ecard2-5,ecard2,68.48
ecard2-6,ecard2,143.16
ecard2-7,ecard2,35.88
ecard2-8,ecard2,95.46
ecard2-9,ecard2,22.06
ecard2-10,ecard2,106.09
ecard2-11,ecard2,102.88
ecard2-12,ecard2,34.65
ecard2-13,ecard2,26.25
ecard2-14,ecard2,134.37
ecard2-15,ecard2,65.82
ecard2-16,ecard2,143.7
ecard2-17,ecard2,109.3
ecard2-18,ecard2,20.19
ecard2-19,ecard2,32.37
ecard2-20,ecard2,22.11
ecard2-21,ecard2,81.63
ecard2-22,ecard2,102.29
ecard2-23,ecard2,90.88
ecard2-24,ecard2,26.19
ecard2-25,ecard2,85.5
ecard2-26,ecard2,0.57
ecard2-27,ecard2,105.73
ecard2-28,ecard2,126.42
ecard2-29,ecard2,59.04
svp-1,svp,65.08
svp-2,svp,125.8
svp-3,svp,82.46
svp-4,svp,109.84
svp-155,svp,64.07
sv10-1,sv10,147.22
sv10-2,sv10,65.92
sv10-3,sv10,25.7
sv10-4,sv10,8.31
sv10-5,sv10,137.46
sv10-6,sv10,17.75
sv10-7,sv10,45.08
sv10-8,sv10,64.27
sv10-9,sv10,42.89
sm5-1,sm5,18.34
sm5-2,sm5,149.55
sm5-3,sm5,120.66
sm5-4,sm5,128.61
sm5-5,sm5,102.69
sm5-6,sm5,128.39
sm5-7,sm5,55.18
sm5-8,sm5,72.7
sm5-9,sm5,80.67
sm5-10,sm5,41.93
sm5-11,sm5,49.98
sm5-12,sm5,47.16
sm5-13,sm5,122.02
sm5-14,sm5,34.67
sm5-15,sm5,0.81
ex11-1,ex11,102.23
bw8-1,bw8,21.21
bw8-2,bw8,25.02
bw8-3,bw8,9.58
bw8-4,bw8,127.38
bw8-5,bw8,30.39
bw8-6,bw8,30.01
bw8-7,bw8,130.71
bw8-8,bw8,109.23
bw8-9,bw8,55.39
bw8-10,bw8,10.82
bw8-11,bw8,33.44
bw8-12,bw8,80.5
bw8-13,bw8,132.21
bw8-14,bw8,57.63
bw8-15,bw8,47.38
bw8-16,bw8,17.24
bw8-18,bw8,133.82
ex13-55,ex13,70.89
ex13-1,ex13,98.19
ex13-2,ex13,137.45
ex13-3,ex13,2.56
ex13-4,ex13,133.16
ex13-5,ex13,41.88
ex13-6,ex13,88.65
ex13-7,ex13,2.99
ex13-8,ex13,118.04
ex13-9,ex13,19.14
ex13-10,ex13,110.24
ex13-11,ex13,57.78
ex13-12,ex13,38.0
ex13-13,ex13,34.81
ex13-14,ex13,146.33
ex13-15,ex13,115.91
ex13-16,ex13,113.28
ex13-17,ex13,31.54
ex13-18,ex13,119.94
ex13-19,ex13,31.6
ex13-20,ex13,23.3
ex13-21,ex13,31.05
ex13-22,ex13,89.55
ex13-23,ex13,61.18
ex13-24,ex13,26.42
ex13-25,ex13,144.9
ex13-26,ex13,145.28
swsh12-1,swsh12,45.73
swsh12-2,swsh12,149.12
swsh12-3,swsh12,134.92
swsh12-4,swsh12,73.27
swsh12-5,swsh12,63.31
swsh12-6,swsh12,108.49
swsh12-7,swsh12,90.92
swsh12-8,swsh12,118.73
swsh12-9,swsh12,73.56
swsh12-10,swsh12,86.24
swsh12-11,swsh12,93.13
swsh12-12,swsh12,136.61
swsh12-188,swsh12,47.2
swsh12-192,swsh12,85.79
base1-1,base1,134.58
base1-2,base1,94.21
base1-3,base1,3.68
base1-4,base1,44.71
base1-5,base1,38.75
base1-6,base1,101.63
base1-7,base1,62.96
base1-8,base1,25.38
base1-9,base1,38.1
base1-10,base1,16.61
base1-11,base1,136.92
base1-12,base1,44.19
swsh2-1,swsh2,42.01
swsh2-2,swsh2,17.77
swsh2-3,swsh2,117.14
swsh2-4,swsh2,30.6
swsh2-5,swsh2,44.65
swsh2-6,swsh2,124.16
swsh2-7,swsh2,81.19
swsh2-8,swsh2,53.69
swsh2-9,swsh2,22.84
swsh2-10,swsh2,2.42
swsh2-11,swsh2,77.96
swsh2-12,swsh2,111.33
swsh2-13,swsh2,96.26
swsh2-17,swsh2,49.26
pl4-1,pl4,30.95
pl4-2,pl4,77.47
dp1-105,dp1,14.64
bw4-1,bw4,51.95
bw4-2,bw4,82.07
bw4-3,bw4,80.44
bw4-4,bw4,39.12
bw4-5,bw4,73.88
bw4-6,bw4,4.82
bw4-7,bw4,94.5
bw4-8,bw4,9.37
bw4-9,bw4,4.87
dp1-106,dp1,20.93
dp1-107,dp1,34.58
pop4-1,pop4,14.8
pop4-2,pop4,31.13
pop4-3,pop4,140.68
pop4-4,pop4,56.81
pop4-5,pop4,138.48
pop4-6,pop4,78.71
pop4-7,pop4,66.81
pop4-8,pop4,145.12
pop4-9,pop4,102.55
pop4-10,pop4,140.24
pop4-11,pop4,107.74
pop4-12,pop4,101.9
pop4-13,pop4,50.36
pop4-14,pop4,17.64
pop4-15,pop4,129.48
pop4-16,pop4,83.96
pop4-17,pop4,16.2
dp1-1,dp1,89.19
dp1-2,dp1,72.18
dp1-3,dp1,51.65
dp1-4,dp1,35.6
dp1-5,dp1,28.82
dp1-6,dp1,23.03
dp1-7,dp1,6.17
dp1-8,dp1,96.13
dp1-9,dp1,40.15
dp1-10,dp1,115.78
dp1-11,dp1,145.53
dp1-12,dp1,123.8
dp1-13,dp1,78.62
dp1-14,dp1,48.97
dp1-15,dp1,32.4
dp1-16,dp1,80.26
dp1-113,dp1,74.98
xy11-1,xy11,86.34
xy11-2,xy11,19.2
xy11-3,xy11,22.07
xy11-4,xy11,33.77
xy11-5,xy11,50.93
xy11-6,xy11,141.09
xy11-7,xy11,40.99
xy11-8,xy11,123.2
xy11-9,xy11,14.8
xy11-10,xy11,2.29
xy11-21,xy11,79.83
swsh7-75,swsh7,94.88
ex1-13,ex1,40.29
base2-1,base2,57.5
base2-2,base2,126.15
base2-3,base2,15.05
base2-4,base2,59.46
base2-5,base2,85.44
base2-6,base2,117.98
base2-7,base2,106.97
base2-8,base2,85.96
base2-9,base2,145.05
swsh7-175,swsh7,6.13
swsh7-1,swsh7,10.92
swsh7-2,swsh7,147.51
swsh7-3,swsh7,148.05
swsh7-4,swsh7,132.11
swsh7-5,swsh7,1.92
swsh7-6,swsh7,79.46
swsh7-7,swsh7,29.86
swsh7-8,swsh7,50.99
swsh7-9,swsh7,3.51
swsh7-10,swsh7,126.89
swsh7-11,swsh7,50.02
swsh7-12,swsh7,105.55
swsh7-13,swsh7,59.16
swsh7-14,swsh7,26.63
ex1-12,ex1,65.4
ex1-1,ex1,33.99
ex1-2,ex1,29.11
ex1-3,ex1,39.36
ex1-4,ex1,103.87
ex1-5,ex1,14.69
ex1-6,ex1,102.26
ex1-7,ex1,9.58
ex1-8,ex1,26.25
ex1-9,ex1,45.46
ex1-10,ex1,7.77
ex1-11,ex1,136.83
tk2a-1,tk2a,58.87
tk2a-2,tk2a,73.38
tk2a-3,tk2a,71.28
tk2a-4,tk2a,41.82
tk2a-5,tk2a,17.29
tk2a-6,tk2a,49.51
tk2a-7,tk2a,71.35
tk2a-8,tk2a,129.84
tk2a-9,tk2a,148.14
bp-1,bp,78.79
bp-2,bp,17.28
bp-3,bp,51.72
bp-4,bp,147.52
bp-5,bp,124.23
bp-6,bp,26.34
bp-7,bp,109.38
bp-8,bp,137.97
bp-9,bp,114.91
ex3-1,ex3,87.03
ex3-2,ex3,43.25
ex3-3,ex3,18.07
ex3-4,ex3,135.32
ex3-5,ex3,71.46
ex3-6,ex3,33.97
ex3-7,ex3,92.77
ex3-8,ex3,52.73
ex3-9,ex3,41.97
ex3-10,ex3,40.11
ex3-11,ex3,96.29
swsh4-1,swsh4,52.4
swsh4-2,swsh4,60.54
swsh4-3,swsh4,57.31
swsh4-4,swsh4,14.37
swsh4-5,swsh4,135.73
swsh4-6,swsh4,67.05
swsh4-7,swsh4,112.43
swsh4-8,swsh4,12.7
swsh4-9,swsh4,133.04
swsh4-10,swsh4,55.59
swsh4-11,swsh4,136.9
swsh4-12,swsh4,111.17
swsh4-13,swsh4,87.79
swsh4-14,swsh4,84.62
swsh4-15,swsh4,131.07
swsh4-16,swsh4,89.76
swsh4-17,swsh4,23.72
swsh4-18,swsh4,27.16
ex15-11,ex15,100.84
hgss3-1,hgss3,70.55
hgss3-2,hgss3,131.55
hgss3-3,hgss3,72.56
hgss3-4,hgss3,49.69
ex15-12,ex15,10.44
ex15-1,ex15,8.43
ex15-2,ex15,117.5
ex15-3,ex15,116.87
ex15-4,ex15,84.45
ex15-5,ex15,81.87
ex15-6,ex15,87.14
ex15-7,ex15,21.89
ex15-8,ex15,96.49
ex15-9,ex15,23.86
ex15-10,ex15,108.89
sv2-86,sv2,74.6
sma-SV1,sma,103.15
sma-SV2,sma,39.24
sma-SV3,sma,67.7
sma-SV4,sma,38.25
sv2-272,sv2,75.48
sm11-1,sm11,110.85
sm11-2,sm11,10.97
sm11-3,sm11,45.28
sv2-273,sv2,29.07
sv2-274,sv2,91.4
ru1-1,ru1,50.77
ru1-2,ru1,84.4
ru1-3,ru1,146.29
ru1-4,ru1,7.91
ru1-5,ru1,129.23
ru1-6,ru1,75.48
ru1-7,ru1,9.22
ru1-8,ru1,28.39
ru1-9,ru1,84.39
ru1-10,ru1,135.09
ru1-11,ru1,132.31
ru1-12,ru1,88.79
ru1-13,ru1,89.28
ru1-14,ru1,87.38
ru1-15,ru1,91.26
ru1-16,ru1,15.13
swsh12tg-TG01,swsh12tg,84.14
swsh12tg-TG02,swsh12tg,145.48
swsh12tg-TG03,swsh12tg,131.29
swsh12tg-TG04,swsh12tg,97.91
swsh12tg-TG05,swsh12tg,6.8
swsh12tg-TG06,swsh12tg,70.4
swsh12tg-TG07,swsh12tg,58.11
sv2-275,sv2,114.03
sm115-1,sm115,116.01
sm115-2,sm115,106.11
sm115-3,sm115,93.16
sm115-4,sm115,115.49
sm115-5,sm115,143.91
sm115-6,sm115,102.65
sm115-7,sm115,79.72
sm115-8,sm115,23.57
sm115-9,sm115,27.14
sm115-10,sm115,11.0
sm115-11,sm115,119.47
sm115-12,sm115,65.19
sm115-13,sm115,87.81
sm115-14,sm115,53.96
sm115-15,sm115,39.16
sm115-16,sm115,7.03
sm115-17,sm115,103.12
sv2-276,sv2,53.74
sv2-1,sv2,116.79
sv2-2,sv2,35.91
sv2-3,sv2,72.79
sv2-4,sv2,21.89
sv2-5,sv2,116.36
sv2-6,sv2,7.85
sv8-23,sv8,11.51
sv8-24,sv8,108.67
sv8-1,sv8,98.74
sv8-2,sv8,45.36
sv8-3,sv8,80.41
sv8-4,sv8,5.54
sv8-5,sv8,8.95
sv8-6,sv8,108.3
sv8-7,sv8,84.58
sv8-8,sv8,39.31
sv8-9,sv8,44.87
sv8-10,sv8,92.85
sv8-11,sv8,128.68
sv8-12,sv8,30.64
sv8-13,sv8,76.6
sv8-14,sv8,138.13
sv8-15,sv8,38.76
sv8-16,sv8,21.65
sv8-17,sv8,141.08
sv8-18,sv8,53.38
sv8-19,sv8,75.04
sv8-20,sv8,86.61
sv8-21,sv8,137.31
sv8-22,sv8,59.08
xy2-1,xy2,128.85
xy2-2,xy2,42.49
xy2-3,xy2,33.65
xy2-4,xy2,108.14
xy2-5,xy2,1.31
xy2-6,xy2,100.25
xy2-7,xy2,86.35
xy2-8,xy2,120.04
xy2-9,xy2,54.72
xy2-10,xy2,23.73
xy2-11,xy2,53.69
xy2-12,xy2,66.93
tk1a-1,tk1a,90.89
tk1a-2,tk1a,124.97
swshp-SWSH001,swshp,125.25
swshp-SWSH002,swshp,112.71
swshp-SWSH003,swshp,89.25
swshp-SWSH004,swshp,34.31
swshp-SWSH005,swshp,116.6
ex9-19,ex9,48.03
swsh11tg-TG01,swsh11tg,43.2
swsh11tg-TG02,swsh11tg,107.4
swsh11tg-TG03,swsh11tg,77.74
swsh11tg-TG04,swsh11tg,70.82
swsh11tg-TG05,swsh11tg,121.78
swsh11tg-TG11,swsh11tg,59.49
mcd16-1,mcd16,21.31
mcd16-2,mcd16,83.34
mcd16-3,mcd16,149.18
mcd16-4,mcd16,6.55
mcd16-5,mcd16,134.67
mcd16-6,mcd16,106.35
mcd16-7,mcd16,10.15
ex9-16,ex9,128.16
mcd12-1,mcd12,53.41
mcd12-2,mcd12,6.56
mcd12-3,mcd12,25.71
mcd12-4,mcd12,111.73
mcd12-5,mcd12,59.9
pop2-1,pop2,27.9
pop2-2,pop2,112.73
pop2-3,pop2,120.73
pop2-4,pop2,96.36
pop2-5,pop2,98.55
pop2-6,pop2,37.77
pop2-7,pop2,39.25
pop2-8,pop2,91.21
pop2-9,pop2,147.43
pop2-10,pop2,82.19
pop2-11,pop2,48.31
pop2-12,pop2,84.48
pop2-13,pop2,57.31
pop2-14,pop2,78.72
pop2-15,pop2,128.19
pop2-16,pop2,93.66
pop2-17,pop2,97.82
bw3-1,bw3,133.75
bw3-2,bw3,28.55
bw3-3,bw3,49.4
bw3-4,bw3,34.74
bw3-5,bw3,84.85
bw3-6,bw3,27.06
bw3-7,bw3,84.15
bw3-8,bw3,12.51
bw3-9,bw3,113.37
bw3-10,bw3,2.58
bw3-11,bw3,14.11
ex9-17,ex9,46.97
ex9-18,ex9,53.6
sve-1,sve,147.66
sve-2,sve,105.86
sve-3,sve,115.76
sve-4,sve,76.3
sve-5,sve,80.54
pop1-1,pop1,107.22
pop1-2,pop1,6.03
pop1-3,pop1,118.87
pop1-4,pop1,81.93
pop1-5,pop1,42.03
pop1-6,pop1,126.28
pop1-7,pop1,5.32
pop1-8,pop1,114.82
pop1-9,pop1,41.5
pop1-10,pop1,109.19
pop1-11,pop1,122.27
pop1-12,pop1,96.86
pop1-13,pop1,90.27
pop1-14,pop1,105.64
pop1-15,pop1,144.68
pop6-1,pop6,133.57
pop6-2,pop6,107.43
pop6-3,pop6,1.02
pop6-4,pop6,19.59
pop6-5,pop6,147.41
pop6-6,pop6,86.88
pop6-7,pop6,121.16
pop6-8,pop6,92.05
pop6-9,pop6,42.4
